Item Code,CPC Code,Item
6610,,Agricultural land
66710,,Agricultural practices
6602,,Agriculture
66020,,Agriculture
6611,,Agriculture area actually irrigated
6672,,Agriculture area certified organic
6671,,Agriculture area under organic agric.
67620,,Aquaculture and Fisheries
6621,,Arable land
6773,,Coastal waters
6641,,Coastal waters used for aquac. or holding facilities
6642,,Coastal waters used for capture fisheries
6600,,Country area
6620,,Cropland
6694,,Cropland area actually irrigated
6669,,Cropland area certified organic
6665,,Cropland area under conservation tillage
6664,,Cropland area under conventional tillage
6668,,Cropland area under organic agric.
6774,,Cropland area under protective cover
6666,,Cropland area under zero or no tillage
6644,,EEZ used for aquac. or holding facilities
6645,,EEZ used for capture fisheries
6643,,Exclusive Economic Zone (EEZ)
6649,,Farm buildings and Farmyards
66630,,Forest
6646,,Forest land
6695,,Forestry area actually irrigated
6680,,Inland waters
6767,,Inland waters used for aquac. or holding facilities
6771,,Inland waters used for capture fisheries
66900,,Irrigation
6601,,Land area
6616,,Land area actually irrigated
6690,,Land area equipped for irrigation
6762,,Land used for aquaculture
6717,,Naturally regenerating forest
6670,,Other land
6656,,Perm. meadows & pastures - Cultivated
6659,,Perm. meadows & pastures - Nat. growing
6657,,Perm. meadows & pastures area actually irrig.
6682,,Perm. meadows & pastures area certified organic
6681,,Perm. meadows & pastures area under organic agric.
6650,,Permanent crops
6655,,Permanent meadows and pastures
6716,,Planted Forest
6714,,Primary Forest
6630,,Temporary crops
6640,,Temporary fallow
6633,,Temporary meadows and pastures
66800,,Water
