observation_date,BOPXGSN
1960-01-01,6.120
1960-04-01,6.835
1960-07-01,6.237
1960-10-01,6.747
1961-01-01,6.455
1961-04-01,6.797
1961-07-01,6.228
1961-10-01,6.923
1962-01-01,6.629
1962-04-01,7.593
1962-07-01,6.554
1962-10-01,6.946
1963-01-01,6.764
1963-04-01,8.007
1963-07-01,6.928
1963-10-01,7.921
1964-01-01,8.020
1964-04-01,8.526
1964-07-01,7.883
1964-10-01,8.911
1965-01-01,7.584
1965-04-01,9.620
1965-07-01,8.556
1965-10-01,9.525
1966-01-01,9.093
1966-04-01,10.198
1966-07-01,9.387
1966-10-01,10.248
1967-01-01,10.236
1967-04-01,10.732
1967-07-01,9.829
1967-10-01,10.536
1968-01-01,10.615
1968-04-01,11.710
1968-07-01,11.442
1968-10-01,11.777
1969-01-01,10.166
1969-04-01,13.272
1969-07-01,12.312
1969-10-01,13.470
1970-01-01,13.308
1970-04-01,14.935
1970-07-01,13.903
1970-10-01,14.494
1971-01-01,14.873
1971-04-01,15.603
1971-07-01,14.955
1971-10-01,14.246
1972-01-01,16.183
1972-04-01,16.475
1972-07-01,16.415
1972-10-01,18.150
1973-01-01,19.998
1973-04-01,22.653
1973-07-01,22.563
1973-10-01,26.028
1974-01-01,27.809
1974-04-01,31.178
1974-07-01,28.984
1974-10-01,32.926
1975-01-01,33.597
1975-04-01,33.761
1975-07-01,30.752
1975-10-01,34.475
1976-01-01,33.702
1976-04-01,36.197
1976-07-01,35.044
1976-10-01,37.773
1977-01-01,36.717
1977-04-01,40.095
1977-07-01,37.331
1977-10-01,38.159
1978-01-01,39.112
1978-04-01,45.680
1978-07-01,44.158
1978-10-01,49.478
1979-01-01,50.990
1979-04-01,55.018
1979-07-01,55.394
1979-10-01,62.730
1980-01-01,65.063
1980-04-01,69.037
1980-07-01,66.712
1980-10-01,71.023
1981-01-01,73.879
1981-04-01,76.018
1981-07-01,71.412
1981-10-01,73.090
1982-01-01,71.202
1982-04-01,72.769
1982-07-01,66.650
1982-10-01,64.614
1983-01-01,65.923
1983-04-01,66.555
1983-07-01,64.779
1983-10-01,68.849
1984-01-01,70.678
1984-04-01,73.813
1984-07-01,72.242
1984-10-01,74.361
1985-01-01,73.203
1985-04-01,73.498
1985-07-01,69.602
1985-10-01,72.768
1986-01-01,74.525
1986-04-01,78.641
1986-07-01,76.934
1986-10-01,79.934
1987-01-01,80.735
1987-04-01,86.006
1987-07-01,88.087
1987-10-01,94.041
1988-01-01,102.822
1988-04-01,108.295
1988-07-01,108.155
1988-10-01,111.878
1989-01-01,116.401
1989-04-01,124.460
1989-07-01,121.456
1989-10-01,124.686
1990-01-01,129.691
1990-04-01,134.397
1990-07-01,132.412
1990-10-01,138.734
1991-01-01,138.434
1991-04-01,145.535
1991-07-01,144.126
1991-10-01,150.248
1992-01-01,151.811
1992-04-01,153.766
1992-07-01,153.275
1992-10-01,158.030
1993-01-01,156.845
1993-04-01,161.042
1993-07-01,158.318
1993-10-01,166.658
1994-01-01,165.898
1994-04-01,173.661
1994-07-01,177.787
1994-10-01,185.908
1995-01-01,189.594
1995-04-01,196.447
1995-07-01,201.365
1995-10-01,206.981
1996-01-01,207.521
1996-04-01,211.677
1996-07-01,208.045
1996-10-01,224.359
1997-01-01,222.951
1997-04-01,234.736
1997-07-01,235.077
1997-10-01,241.689
1998-01-01,232.769
1998-04-01,232.119
1998-07-01,226.633
1998-10-01,241.653
1999-01-01,230.378
1999-04-01,237.173
1999-07-01,242.222
1999-10-01,257.524
2000-01-01,255.699
2000-04-01,267.945
2000-07-01,272.610
2000-10-01,276.000
2001-01-01,264.922
2001-04-01,259.610
2001-07-01,240.764
2001-10-01,237.240
2002-01-01,233.886
2002-04-01,246.368
2002-07-01,245.286
2002-10-01,249.067
2003-01-01,243.552
2003-04-01,249.040
2003-07-01,252.333
2003-10-01,272.542
2004-01-01,277.302
2004-04-01,288.190
2004-07-01,287.678
2004-10-01,304.790
2005-01-01,306.113
2005-04-01,321.037
2005-07-01,318.773
2005-10-01,337.174
2006-01-01,342.418
2006-04-01,363.456
2006-07-01,363.697
2006-10-01,383.277
2007-01-01,383.099
2007-04-01,404.521
2007-07-01,416.897
2007-10-01,443.720
2008-01-01,445.818
2008-04-01,477.840
2008-07-01,479.736
2008-10-01,431.136
2009-01-01,368.844
2009-04-01,376.215
2009-07-01,397.745
2009-10-01,431.933
2010-01-01,429.397
2010-04-01,451.788
2010-07-01,468.457
2010-10-01,499.283
2011-01-01,502.822
2011-04-01,530.918
2011-07-01,543.772
2011-10-01,543.923
2012-01-01,541.130
2012-04-01,553.618
2012-07-01,550.614
2012-10-01,565.632
2013-01-01,551.851
2013-04-01,566.196
2013-07-01,570.431
2013-10-01,585.937
2014-01-01,565.065
